,geometry,LATITUDE,LONGITUDE,CURRENT_SIZE,FIRE_NUMBER,FIRE_YEAR,IGNITION_DATE,FIRE_OUT_DATE,FIRE_CAUSE,FIRE_CENTRE
343,POINT (-125.30401578242756 49.28900535446799),49.289,-125.304,2534.9,V00340,1967,1967-08-16 21:00:00,1967-08-16 21:12:00,Person,Costal Fire Centre
344,POINT (-119.23201526483577 50.99200614667168),50.992000000000004,-119.232,19592.801,K00874,1967,1967-08-19 03:00:00,1967-10-01 17:06:00,Person,Kamloops Fire Centre
345,POINT (-118.50301502989639 50.65500621431943),50.655,-118.503,2349.2000000000003,K01017,1967,1967-09-01 03:00:00,1967-09-08 10:54:00,Person,Kamloops Fire Centre
346,POINT (-116.80401435574326 49.37600633076957),49.376000000000005,-116.804,3799.1,N00859,1967,1967-09-01 23:00:00,1967-09-21 12:12:00,Person,Southeast Fire Centre
347,POINT (-121.68301617635481 52.492005916773095),52.492000000000004,-121.683,1610.6000000000001,C00443,1967,1967-09-21 19:00:00,1967-09-30 02:00:00,Person,Cariboo Fire Centre
348,POINT (-121.12401745098181 56.09700611159294),56.097,-121.12400000000001,2402.2000000000003,G00037,1968,1968-05-18 17:00:00,1968-05-26 15:06:00,Person,Prince George Fire Centre
349,POINT (-126.12101885447294 57.260005439246974),57.26,-126.12100000000001,4451.5,G00143,1968,1968-07-03 23:00:00,1968-07-07 21:54:00,Person,Prince George Fire Centre
350,POINT (-128.1750193641449 57.65500514529269),57.655,-128.175,1129.0,R00120,1969,1969-05-01 20:00:00,1969-06-21 08:00:00,Person,Northwest Fire Centre
351,POINT (-121.02301737352103 55.96300612106638),55.963,-121.02300000000001,3952.5,G00028,1969,1969-05-08 07:00:00,1969-05-12 15:00:00,Person,Prince George Fire Centre
352,POINT (-123.72901874223398 57.847005788823644),57.847,-123.729,2330.9,G00121,1969,1969-05-15 07:00:00,1969-05-19 11:05:00,Unknown,Prince George Fire Centre
353,POINT (-123.68201701912811 53.90500570855703),53.905,-123.682,1521.6000000000001,G00074,1969,1969-05-23 21:00:00,1969-05-24 22:29:00,Person,Prince George Fire Centre
354,POINT (-121.37401747320204 56.039006075723435),56.039,-121.37400000000001,1502.1000000000001,G00112,1969,1969-05-23 22:00:00,1969-05-25 06:12:00,Person,Prince George Fire Centre
355,POINT (-123.37401826347781 56.99200582417922),56.992000000000004,-123.37400000000001,5099.0,G00118,1969,1969-06-03 07:00:00,1969-06-16 05:00:00,Person,Prince George Fire Centre
356,POINT (-125.01201862279278 57.155005595823496),57.155,-125.012,5260.900000000001,G00127,1969,1969-06-03 07:00:00,1969-06-28 19:30:00,Lightning,Prince George Fire Centre
357,POINT (-124.2290191305441 58.434005725333904),58.434000000000005,-124.229,4856.2,G00122,1969,1969-06-08 07:00:00,1969-06-08 07:06:00,Person,Prince George Fire Centre
358,POINT (-125.75701955694205 58.742005506574515),58.742000000000004,-125.757,1537.8,G00125,1969,1969-06-11 17:00:00,1969-06-21 05:10:00,Unknown,Prince George Fire Centre
359,POINT (-125.61501990230491 59.405005531292616),59.405,-125.61500000000001,35798.5,G00189,1969,1969-06-13 07:00:00,1969-06-23 10:42:00,Lightning,Prince George Fire Centre
360,POINT (-125.55802003703097 59.65500554121565),59.655,-125.558,18324.100000000002,G00159,1969,1969-06-13 07:00:00,1969-06-13 07:18:00,Lightning,Prince George Fire Centre
361,POINT (-131.06601972844769 57.5970047203218),57.597,-131.066,1133.1000000000001,R00125,1969,1969-06-13 07:00:00,1969-06-21 06:06:00,Lightning,Northwest Fire Centre
362,POINT (-130.56201990975254 58.068004793351356),58.068000000000005,-130.562,10038.6,R00131,1969,1969-06-14 07:00:00,1969-06-25 13:00:00,Lightning,Northwest Fire Centre
363,POINT (-128.67202017984116 59.03900507389516),59.039,-128.672,20719.9,R00130,1969,1969-06-14 19:00:00,1969-06-21 21:36:00,Lightning,Northwest Fire Centre
364,POINT (-132.67302056735696 58.7890044700782),58.789,-132.673,5697.900000000001,R00127,1969,1969-06-14 21:00:00,1969-06-16 01:36:00,Lightning,Northwest Fire Centre
365,POINT (-132.558020815098 59.24200448184924),59.242000000000004,-132.558,4143.9,R00128,1969,1969-06-14 22:00:00,1969-06-17 14:06:00,Lightning,Northwest Fire Centre
366,POINT (-130.86802006881692 58.289004746711),58.289,-130.868,4351.1,R00132,1969,1969-06-16 01:00:00,1969-06-16 03:36:00,Lightning,Northwest Fire Centre
367,POINT (-122.51701781661322 56.347005928599415),56.347,-122.51700000000001,1076.4,G00184,1969,1969-06-16 21:00:00,1969-06-24 02:42:00,Lightning,Prince George Fire Centre
368,POINT (-124.93301670141368 52.463005504635106),52.463,-124.933,4702.400000000001,C00186,1969,1969-06-17 16:00:00,1969-06-24 02:40:00,Person,Cariboo Fire Centre
369,POINT (-119.59901482735108 49.184006006508554),49.184000000000005,-119.599,4718.6,KA0805,1969,1969-08-24 21:00:00,1969-08-27 19:11:00,Person,Kamloops Fire Centre
370,POINT (-127.4920200464073 59.11900525044963),59.119,-127.492,1864.7,RE0013,1970,1970-05-02 07:00:00,1970-05-03 04:11:00,Person,Northwest Fire Centre
371,POINT (-123.45801619580077 51.640005663344894),51.64,-123.45800000000001,2777.3,CE0281,1970,1970-06-01 07:00:00,1970-06-05 04:41:00,Unknown,Cariboo Fire Centre
372,POINT (-125.41301848320542 56.720005532687146),56.72,-125.41300000000001,19733.301,GJ0074,1970,1970-06-04 02:00:00,1970-06-28 17:17:00,Lightning,Prince George Fire Centre
373,POINT (-121.798018880713 58.811006081395945),58.811,-121.798,6591.900000000001,GD0110,1970,1970-06-18 03:00:00,1970-06-19 13:04:00,Lightning,Prince George Fire Centre
374,POINT (-120.63901704768571 55.35400615309321),55.354,-120.63900000000001,3216.4,G70116,1970,1970-06-18 19:00:00,1970-06-25 19:18:00,Person,Prince George Fire Centre
375,POINT (-122.15201569574498 50.71300578591515),50.713,-122.152,1473.8,K80526,1970,1970-06-23 00:00:00,1970-07-04 19:11:00,Person,Kamloops Fire Centre
376,POINT (-117.92301531300528 51.96300635276859),51.963,-117.923,3411.1,NF0189,1970,1970-07-01 21:00:00,1970-08-22 01:59:00,Person,Southeast Fire Centre
377,POINT (-124.33301612908365 50.984005532279134),50.984,-124.33300000000001,1402.2,VB0227,1970,1970-07-07 21:00:00,1970-07-23 04:42:00,Person,Costal Fire Centre
378,POINT (-119.48301490146235 49.546006040094234),49.546,-119.483,4815.7,KA0810,1970,1970-07-09 21:00:00,1970-07-20 19:29:00,Unknown,Kamloops Fire Centre
379,POINT (-121.1290189913389 59.26000618469429),59.26,-121.129,7203.400000000001,GD0235,1970,1970-07-12 07:00:00,1970-07-12 07:30:00,Lightning,Prince George Fire Centre
380,POINT (-124.19701617878775 51.21300555681942),51.213,-124.197,1636.9,CK0676,1970,1970-07-14 19:00:00,1970-07-27 00:12:00,Person,Cariboo Fire Centre
381,POINT (-119.52101476566743 49.003006005095855),49.003,-119.521,1056.6,KA1057,1970,1970-07-16 07:00:00,1970-07-16 07:00:00,Lightning,Kamloops Fire Centre
382,POINT (-120.43001668873444 54.546006153660834),54.546,-120.43,3568.5,G70279,1970,1970-07-17 07:00:00,1970-07-28 06:11:00,Lightning,Prince George Fire Centre
383,POINT (-121.87901558996904 50.51000580971687),50.51,-121.879,1214.0,K81144,1970,1970-07-21 06:00:00,1970-07-21 22:30:00,Lightning,Kamloops Fire Centre
384,POINT (-121.56101543980961 50.1770058318401),50.177,-121.561,2182.0,KG1489,1970,1970-08-05 22:00:00,1970-08-25 01:05:00,Person,Kamloops Fire Centre
385,POINT (-115.08301423777606 50.22700657717551),50.227000000000004,-115.08300000000001,1163.4,N20569,1970,1970-08-16 07:00:00,1970-08-26 09:42:00,Lightning,Southeast Fire Centre
386,POINT (-115.0430140988718 49.734006548108674),49.734,-115.043,1101.9,N20609,1970,1970-08-23 07:00:00,1970-08-29 10:59:00,Person,Southeast Fire Centre
387,POINT (-122.44001797095414 56.7200059483481),56.72,-122.44,3666.4,GA0385,1970,1970-08-25 07:00:00,1970-09-02 06:42:00,Person,Prince George Fire Centre
388,POINT (-124.43001727201465 54.249005618725725),54.249,-124.43,1058.2,G50364,1970,1970-08-25 08:00:00,1970-08-26 07:42:00,Person,Prince George Fire Centre
389,POINT (-124.23201625846355 51.44800556070895),51.448,-124.232,2645.8,CK0628,1970,1970-09-21 18:00:00,1970-09-27 01:06:00,Unknown,Cariboo Fire Centre
390,POINT (-120.6780172968778 55.93400616640533),55.934000000000005,-120.67800000000001,1499.7,G70086,1971,1971-05-01 07:00:00,1971-05-11 10:00:00,Unknown,Prince George Fire Centre
391,POINT (-122.39401671261808 53.66900586820722),53.669000000000004,-122.394,1214.0,GF0076,1971,1971-05-01 07:00:00,1971-05-09 13:24:00,Unknown,Prince George Fire Centre
392,POINT (-120.49301711626528 55.59000618029473),55.59,-120.49300000000001,1617.1000000000001,G70088,1971,1971-05-06 07:00:00,1971-05-06 07:06:00,Person,Prince George Fire Centre
393,POINT (-122.20701643303052 52.97700586895868),52.977000000000004,-122.20700000000001,9348.2,CG0017,1971,1971-05-06 07:00:00,1971-05-06 07:24:00,Person,Cariboo Fire Centre
394,POINT (-121.38901743566736 55.94800607145722),55.948,-121.38900000000001,1845.3,GI0129,1971,1971-05-06 22:00:00,1971-05-13 02:06:00,Person,Prince George Fire Centre
395,POINT (-121.46701729244589 55.5750060499094),55.575,-121.467,1549.9,GI0044,1971,1971-05-07 20:00:00,1971-05-11 00:06:00,Unknown,Prince George Fire Centre
396,POINT (-121.1780173089574 55.74200609391357),55.742000000000004,-121.17800000000001,4404.6,G70157,1971,1971-05-11 07:00:00,1971-05-11 07:06:00,Person,Prince George Fire Centre
397,POINT (-120.99301731840873 55.8470061216564),55.847,-120.99300000000001,6282.3,G70158,1971,1971-05-11 07:00:00,1971-05-11 07:06:00,Person,Prince George Fire Centre
398,POINT (-120.59701750609591 56.45500619336374),56.455000000000005,-120.59700000000001,1116.9,GA0092,1971,1971-05-11 22:00:00,1971-05-16 05:06:00,Person,Prince George Fire Centre
399,POINT (-121.45001898575246 59.133006136662964),59.133,-121.45,2165.8,GD0190,1971,1971-05-23 22:00:00,1971-06-04 22:11:00,Lightning,Prince George Fire Centre
400,POINT (-122.21601828508659 57.47700599590528),57.477000000000004,-122.21600000000001,2560.4,GA0204,1971,1971-05-27 07:00:00,1971-06-02 21:00:00,Lightning,Prince George Fire Centre
401,POINT (-127.3400198932298 58.89000527323511),58.89,-127.34,25899.9,RE0108,1971,1971-06-20 23:00:00,1971-07-13 08:06:00,Lightning,Northwest Fire Centre
402,POINT (-133.50702064074028 58.74900434317091),58.749,-133.507,6086.400000000001,RE0151,1971,1971-07-07 01:00:00,1971-07-08 14:00:00,Lightning,Northwest Fire Centre
403,POINT (-126.12902007034637 59.546005455935784),59.546,-126.129,110333.602,GD0263,1971,1971-07-20 02:00:00,1971-08-09 17:06:00,Lightning,Prince George Fire Centre
404,POINT (-118.42301518900733 51.24900625557743),51.249,-118.423,1150.1000000000001,NM0180,1971,1971-07-23 21:00:00,1971-07-27 01:30:00,Lightning,Southeast Fire Centre
405,POINT (-116.2590147473841 51.18400650493787),51.184000000000005,-116.259,3494.4,N30161,1971,1971-07-23 22:00:00,1971-09-02 03:06:00,Lightning,Southeast Fire Centre
406,POINT (-117.41101508968629 51.568006392459274),51.568000000000005,-117.411,21071.199,N30158,1971,1971-07-23 23:00:00,1971-08-01 01:36:00,Lightning,Southeast Fire Centre
407,POINT (-127.48001853622799 56.14000523475424),56.14,-127.48,1955.0,R60185,1971,1971-07-26 07:00:00,1971-08-05 06:53:00,Lightning,Northwest Fire Centre
408,POINT (-127.24301925841264 57.72000528157401),57.72,-127.24300000000001,16369.5,RH0180,1971,1971-07-26 07:00:00,1971-07-26 07:00:00,Lightning,Northwest Fire Centre
409,POINT (-126.6070190928748 57.59000537259496),57.59,-126.607,2428.1,GJ0318,1971,1971-07-27 07:00:00,1971-07-27 07:12:00,Lightning,Prince George Fire Centre
410,POINT (-127.52601915309118 57.42700523847606),57.427,-127.52600000000001,5127.3,RH0187,1971,1971-07-27 07:00:00,1971-07-27 07:06:00,Lightning,Northwest Fire Centre
411,POINT (-117.6590152896682 52.05400638887467),52.054,-117.659,1112.8,NF0238,1971,1971-07-28 02:00:00,1971-08-24 20:06:00,Lightning,Southeast Fire Centre
412,POINT (-126.1500186935878 56.91900543125624),56.919000000000004,-126.15,6910.0,GJ0288,1971,1971-07-28 05:00:00,1971-08-03 02:35:00,Lightning,Prince George Fire Centre
413,POINT (-132.20002088432074 59.434004534607844),59.434000000000005,-132.2,2473.4,RE0201,1971,1971-07-31 02:00:00,1971-08-02 16:00:00,Lightning,Northwest Fire Centre
414,POINT (-124.87401815584168 56.1980055999018),56.198,-124.87400000000001,1440.6000000000001,G50297,1971,1971-07-31 22:00:00,1971-08-09 00:36:00,Lightning,Prince George Fire Centre
415,POINT (-119.84101558483177 51.677006107445926),51.677,-119.84100000000001,1618.7,K20544,1971,1971-08-01 07:00:00,1971-09-10 16:17:00,Lightning,Kamloops Fire Centre
416,POINT (-124.36801939614863 58.88300571070602),58.883,-124.36800000000001,35094.301,GD0439,1971,1971-08-02 03:00:00,1971-09-01 15:04:00,Lightning,Prince George Fire Centre
417,POINT (-121.16601528529002 49.869005863096774),49.869,-121.16600000000001,5776.0,KH0558,1971,1971-08-04 18:00:00,1971-08-04 18:24:00,Person,Kamloops Fire Centre
418,POINT (-121.56101542726881 50.133005830002425),50.133,-121.561,2370.2000000000003,KG0645,1971,1971-08-04 21:00:00,1971-08-22 02:23:00,Person,Kamloops Fire Centre
419,POINT (-119.5020158784233 52.77500619968625),52.775000000000006,-119.50200000000001,3800.8,G20435,1971,1971-08-06 21:00:00,1971-08-23 02:05:00,Lightning,Prince George Fire Centre
420,POINT (-118.853015466069 51.88300623700265),51.883,-118.85300000000001,1155.7,NF0376,1971,1971-08-07 02:00:00,1971-08-08 20:18:00,Lightning,Southeast Fire Centre
421,POINT (-116.75301457167137 50.2200063893565),50.22,-116.753,1513.5,N70355,1971,1971-08-07 07:00:00,1971-08-17 10:17:00,Lightning,Southeast Fire Centre
422,POINT (-118.83701562025357 52.37600626249704),52.376000000000005,-118.837,3706.9,G20427,1971,1971-08-07 07:00:00,1971-08-08 12:30:00,Lightning,Prince George Fire Centre
423,POINT (-119.65001564589541 51.984006144895076),51.984,-119.65,2057.4,K20872,1971,1971-08-07 07:00:00,1971-08-17 09:18:00,Lightning,Kamloops Fire Centre
424,POINT (-117.70901479414209 50.35400628880172),50.354,-117.709,3080.4,NA0317,1971,1971-08-08 04:00:00,1971-08-31 17:06:00,Lightning,Southeast Fire Centre
425,POINT (-116.87901460314204 50.242006376418516),50.242000000000004,-116.879,1294.9,N70243,1971,1971-08-08 08:00:00,1971-08-30 22:53:00,Lightning,Southeast Fire Centre
426,POINT (-119.5540148713993 49.38300602256197),49.383,-119.554,1618.7,KA0782,1971,1971-08-09 03:00:00,1971-08-24 16:42:00,Person,Kamloops Fire Centre
427,POINT (-115.40501416882198 49.720006507574965),49.72,-115.405,1014.9,N40348,1971,1971-08-10 07:00:00,1971-08-18 12:42:00,Lightning,Southeast Fire Centre
428,POINT (-115.91401443608748 50.33300649132752),50.333000000000006,-115.914,2978.4,N10400,1971,1971-08-14 07:00:00,1971-08-18 03:12:00,Person,Southeast Fire Centre
429,POINT (-126.43701629830932 50.51800525986515),50.518,-126.43700000000001,1266.6000000000001,VE0030,1972,1972-05-25 15:00:00,1972-06-08 04:48:00,Person,Costal Fire Centre
430,POINT (-120.76601883777882 59.11100623419823),59.111000000000004,-120.766,9712.4,GD0113,1972,1972-06-02 01:00:00,1972-06-02 23:00:00,Lightning,Prince George Fire Centre
431,POINT (-123.15001623620566 51.91900571182232),51.919000000000004,-123.15,1075.2,CE0123,1972,1972-09-01 07:00:00,1972-09-01 14:00:00,Person,Cariboo Fire Centre
432,POINT (-118.69901462654201 49.039006099394676),49.039,-118.69900000000001,1446.7,ND0159,1973,1973-07-10 19:00:00,1973-07-13 15:42:00,Person,Southeast Fire Centre
433,POINT (-117.23201516141161 51.912006432497904),51.912,-117.232,1412.3,N30354,1973,1973-07-30 00:00:00,1973-08-31 17:06:00,Lightning,Southeast Fire Centre
434,POINT (-117.65201475420643 50.24900628867321),50.249,-117.652,2509.0,NA0303,1973,1973-07-30 03:00:00,1973-08-23 07:36:00,Lightning,Southeast Fire Centre
435,POINT (-115.7930140939766 49.12600642445116),49.126000000000005,-115.793,1258.5,NJ0607,1973,1973-08-11 07:00:00,1973-08-18 07:41:00,Lightning,Southeast Fire Centre
436,POINT (-115.47201399864683 49.00300645083513),49.003,-115.47200000000001,2774.1,NH0561,1973,1973-08-15 06:00:00,1973-08-25 00:10:00,Lightning,Southeast Fire Centre
437,POINT (-119.4370152204544 50.713006107741094),50.713,-119.43700000000001,6617.400000000001,K60815,1973,1973-09-11 21:00:00,1973-09-18 18:18:00,Person,Kamloops Fire Centre
438,POINT (-120.53501822912958 58.02500624276815),58.025000000000006,-120.53500000000001,1214.0,GD0094,1974,1974-06-18 07:00:00,1974-06-18 07:06:00,Lightning,Prince George Fire Centre
439,POINT (-126.90701748700111 53.81800527928283),53.818000000000005,-126.90700000000001,1382.0,RD0141,1974,1974-09-24 19:00:00,1974-09-29 17:23:00,Person,Northwest Fire Centre
440,POINT (-119.91601508484176 49.934006011120644),49.934000000000005,-119.91600000000001,1472.2,KF0691,1974,1974-10-04 07:00:00,1974-10-04 07:00:00,Person,Kamloops Fire Centre
441,POINT (-122.75201926155596 59.177005949820455),59.177,-122.75200000000001,5035.900000000001,GD0033,1975,1975-05-23 01:00:00,1975-06-03 15:00:00,Person,Prince George Fire Centre
442,POINT (-126.85102045336116 59.992005348719815),59.992000000000004,-126.851,4030.6,RE0134,1975,1975-07-08 07:00:00,1975-07-08 07:06:00,Lightning,Northwest Fire Centre
443,POINT (-125.2490189538423 57.74900557059462),57.749,-125.24900000000001,1566.1000000000001,GJ0115,1975,1975-07-09 07:00:00,1975-07-09 07:00:00,Lightning,Prince George Fire Centre
444,POINT (-121.17701769054807 56.61900611874477),56.619,-121.177,2525.2000000000003,GA0351,1975,1975-09-18 23:00:00,1975-10-06 00:06:00,Person,Prince George Fire Centre
445,POINT (-121.20401732892006 55.77500609090816),55.775000000000006,-121.20400000000001,4737.900000000001,G70055,1976,1976-04-25 07:00:00,1976-05-01 13:36:00,Person,Prince George Fire Centre
446,POINT (-121.55701765949975 56.390006060676384),56.39,-121.557,1943.0,GA0012,1976,1976-04-27 19:00:00,1976-05-04 03:00:00,Person,Prince George Fire Centre
447,POINT (-121.1240175565612 56.340006118565064),56.34,-121.12400000000001,2763.5,GA0034,1976,1976-04-28 18:45:00,1976-04-30 05:15:00,Person,Prince George Fire Centre
448,POINT (-121.37401789805224 56.99200610122716),56.992000000000004,-121.37400000000001,6710.5,GA0033,1976,1976-04-30 23:00:00,1976-05-17 22:42:00,Unknown,Prince George Fire Centre
449,POINT (-122.88401862451641 57.91900591029344),57.919000000000004,-122.884,2200.0,GD0064,1976,1976-05-12 04:00:00,1976-05-18 04:05:00,Person,Prince George Fire Centre
450,POINT (-123.22901893339713 58.39800586954841),58.398,-123.229,17060.0,GD0066,1976,1976-05-13 07:00:00,1976-05-28 15:36:00,Person,Prince George Fire Centre
451,POINT (-121.30801891887371 59.0610061561555),59.061,-121.308,4240.0,GD0072,1976,1976-05-15 09:00:00,1976-05-16 01:28:00,Lightning,Prince George Fire Centre
452,POINT (-121.22901860764559 58.50300615646229),58.503,-121.229,8100.0,GD0092,1976,1976-06-17 01:00:00,1976-06-17 21:29:00,Lightning,Prince George Fire Centre
453,POINT (-121.32201918387074 59.53900616215151),59.539,-121.322,2000.0,GD0094,1976,1976-06-29 07:00:00,1976-06-29 07:06:00,Lightning,Prince George Fire Centre
454,POINT (-129.23001835918961 55.17700498068592),55.177,-129.23,1107.2,R40019,1978,1978-06-17 19:25:00,1978-06-17 21:13:00,Person,Northwest Fire Centre
455,POINT (-128.50301788301385 54.26000507102646),54.26,-128.50300000000001,3569.0,RG0003,1978,1978-06-29 21:30:00,1978-08-16 00:06:00,Person,Northwest Fire Centre
456,POINT (-133.35102084664578 59.14000436173099),59.14,-133.351,4418.0,RE0009,1978,1978-06-30 03:00:00,1978-08-06 22:58:00,Lightning,Northwest Fire Centre
457,POINT (-120.86301700259412 55.140006116906505),55.14,-120.863,1068.9,G70005,1978,1978-07-03 22:00:00,1978-07-06 04:58:00,Lightning,Prince George Fire Centre
458,POINT (-132.50702054400043 58.78200449574702),58.782000000000004,-132.507,12759.0,RE0014,1978,1978-07-10 01:00:00,1978-07-12 00:00:00,Lightning,Northwest Fire Centre
459,POINT (-127.77301836343625 55.65500518779587),55.655,-127.77300000000001,2920.0,R60007,1978,1978-07-10 20:30:00,1978-08-05 01:06:00,Lightning,Northwest Fire Centre
460,POINT (-132.2290204395623 58.655004538887795),58.655,-132.229,4060.0,RE0021,1978,1978-07-20 22:00:00,1978-07-20 23:29:00,Lightning,Northwest Fire Centre
461,POINT (-122.17101641526426 52.941005872405285),52.941,-122.171,2601.0,C60013,1978,1978-07-27 15:00:00,1978-08-12 04:00:00,Lightning,Cariboo Fire Centre
462,POINT (-125.4660190000207 57.76800553884608),57.768,-125.46600000000001,6919.400000000001,GJ0047,1978,1978-07-31 03:00:00,1978-08-12 23:59:00,Lightning,Prince George Fire Centre
463,POINT (-120.9640191356555 59.583006214167405),59.583000000000006,-120.96400000000001,1350.0,GD0020,1978,1978-08-05 03:00:00,1978-08-06 19:30:00,Lightning,Prince George Fire Centre
464,POINT (-121.11001749198088 56.198006116355536),56.198,-121.11,1000.0,GI0004,1979,1979-05-23 17:00:00,1979-05-23 19:18:00,Person,Prince George Fire Centre
465,POINT (-122.67301864949685 58.04600594298059),58.046,-122.673,1197.0,GD0005,1979,1979-05-25 10:00:00,1979-05-27 04:00:00,Person,Prince George Fire Centre
466,POINT (-118.84501518006536 50.94800619029221),50.948,-118.845,1501.0,K70093,1979,1979-08-03 03:30:00,1979-08-16 22:30:00,Lightning,Kamloops Fire Centre
467,POINT (-127.43701966408221 58.4410052569103),58.441,-127.43700000000001,2298.7000000000003,RE0003,1979,1979-08-13 21:00:00,1979-08-14 14:36:00,Lightning,Northwest Fire Centre
468,POINT (-126.333016348194 50.72700527843312),50.727000000000004,-126.33300000000001,1600.0,VE0014,1979,1979-11-14 22:00:00,1979-11-23 01:06:00,Person,Costal Fire Centre
469,POINT (-122.32001768611715 56.13300595037335),56.133,-122.32000000000001,1984.0,G70006,1980,1980-04-22 18:00:00,1980-05-02 16:05:00,Person,Prince George Fire Centre
470,POINT (-122.42701770545568 56.133005935957776),56.133,-122.427,1976.0,G70008,1980,1980-04-22 23:00:00,1980-05-06 22:30:00,Person,Prince George Fire Centre
471,POINT (-120.96701733613065 55.898006126821286),55.898,-120.967,2853.0,G70036,1980,1980-04-23 17:09:00,1980-05-13 03:09:00,Person,Prince George Fire Centre
472,POINT (-123.96501899414918 58.26000576169468),58.26,-123.965,1799.6000000000001,G90009,1980,1980-04-30 22:00:00,1980-05-01 14:36:00,Person,Prince George Fire Centre
473,POINT (-120.07601834563606 58.44100631672625),58.441,-120.07600000000001,16227.800000000001,G90036,1980,1980-05-10 22:00:00,1980-06-27 23:00:00,Lightning,Prince George Fire Centre
474,POINT (-122.36801895961028 58.7530059981258),58.753,-122.36800000000001,1231.0,G90035,1980,1980-05-10 22:00:00,1980-05-25 01:42:00,Lightning,Prince George Fire Centre
475,POINT (-121.43701863247296 58.47000612616585),58.47,-121.43700000000001,2304.0,G90030,1980,1980-05-10 22:00:00,1980-05-10 22:48:00,Lightning,Prince George Fire Centre
476,POINT (-123.20101899444592 58.525005874870246),58.525000000000006,-123.20100000000001,6285.0,G90043,1980,1980-05-14 23:30:00,1980-05-29 14:59:00,Lightning,Prince George Fire Centre
477,POINT (-121.27101887869532 58.99900615980208),58.999,-121.271,7229.6,G90053,1980,1980-05-16 03:00:00,1980-07-12 23:58:00,Lightning,Prince George Fire Centre
478,POINT (-121.47901804226863 57.26000609329325),57.26,-121.479,1252.1000000000001,G80034,1980,1980-05-19 22:00:00,1980-05-23 23:05:00,Lightning,Prince George Fire Centre
479,POINT (-120.8540187209994 58.86100621634689),58.861000000000004,-120.854,2279.0,G90058,1980,1980-05-21 01:00:00,1980-07-21 22:00:00,Lightning,Prince George Fire Centre
480,POINT (-133.00702045835422 58.525004422713984),58.525000000000006,-133.007,6657.0,R90005,1981,1981-07-10 20:00:00,1981-07-12 10:00:00,Person,Northwest Fire Centre
481,POINT (-126.33702009356803 59.52500542457904),59.525000000000006,-126.337,1639.0,G90030,1981,1981-07-12 23:00:00,1981-08-24 23:04:00,Lightning,Prince George Fire Centre
482,POINT (-125.35701892758341 57.66200555322055),57.662000000000006,-125.357,20137.0,G60019,1981,1981-07-18 02:00:00,1981-08-26 18:00:00,Lightning,Prince George Fire Centre
483,POINT (-127.01201915668474 57.590005314768376),57.59,-127.012,1915.0,R90013,1981,1981-07-20 03:00:00,1981-07-26 00:04:00,Lightning,Northwest Fire Centre
484,POINT (-123.17301900794259 58.56100587971831),58.561,-123.173,37700.898,G90074,1981,1981-08-05 00:00:00,1981-10-08 15:04:00,Lightning,Prince George Fire Centre
485,POINT (-128.55301930730778 57.434005090023625),57.434000000000005,-128.553,3968.0,R90016,1981,1981-08-11 20:30:00,1981-08-22 01:11:00,Person,Northwest Fire Centre
486,POINT (-120.59001850758983 58.55400624734106),58.554,-120.59,7889.0,G90087,1981,1981-08-12 03:00:00,1981-10-01 01:04:00,Lightning,Prince George Fire Centre
487,POINT (-126.07501701516439 52.86900536824041),52.869,-126.075,4755.0,R60019,1981,1981-08-13 07:00:00,1981-12-01 17:05:00,Lightning,Northwest Fire Centre
488,POINT (-121.14201665298111 54.1040060451501),54.104,-121.14200000000001,1617.2,G20297,1981,1981-08-24 23:30:00,1981-09-17 21:30:00,Lightning,Prince George Fire Centre
489,POINT (-121.75901651203783 53.41900594197545),53.419000000000004,-121.759,1196.0,G20294,1981,1981-09-15 22:00:00,1981-09-17 03:00:00,Person,Prince George Fire Centre
490,POINT (-127.06201952935389 58.296005312001874),58.296,-127.06200000000001,2980.0,R90004,1982,1982-05-27 21:00:00,1982-06-04 01:00:00,Person,Northwest Fire Centre
491,POINT (-121.39801805456295 57.31800610647865),57.318000000000005,-121.39800000000001,14270.0,G80010,1982,1982-06-13 21:30:00,1982-07-10 22:58:00,Lightning,Prince George Fire Centre
492,POINT (-120.00401741543727 56.51000627460644),56.51,-120.004,12336.0,G80017,1982,1982-06-13 23:00:00,1982-07-02 23:06:00,Lightning,Prince George Fire Centre
493,POINT (-121.39501861595616 58.45500613160927),58.455000000000005,-121.39500000000001,4500.0,G90018,1982,1982-06-14 00:30:00,1982-08-12 15:59:00,Lightning,Prince George Fire Centre
494,POINT (-126.46801771816122 54.57500535260399),54.575,-126.468,1010.5,R20034,1982,1982-06-18 22:30:00,1982-06-27 00:05:00,Person,Northwest Fire Centre
495,POINT (-123.84501685888077 53.39800567220182),53.398,-123.845,2741.0,C10026,1982,1982-06-19 21:00:00,1982-06-26 01:05:00,Lightning,Cariboo Fire Centre
496,POINT (-124.259016920245 53.383005618316844),53.383,-124.259,1345.3,C10025,1982,1982-06-19 22:00:00,1982-06-27 00:58:00,Lightning,Cariboo Fire Centre
497,POINT (-124.45201883443056 57.78200568479189),57.782000000000004,-124.45200000000001,10808.1,G90024,1982,1982-06-19 23:00:00,1982-06-20 20:29:00,Lightning,Prince George Fire Centre
498,POINT (-127.74202056871341 59.94800521371556),59.948,-127.742,182725.0,R90015,1982,1982-06-19 23:00:00,1982-08-15 17:12:00,Lightning,Northwest Fire Centre
