,geometry,LATITUDE,LONGITUDE,CURRENT_SIZE,FIRE_NUMBER,FIRE_YEAR,IGNITION_DATE,FIRE_OUT_DATE,FIRE_CAUSE,FIRE_CENTRE
1128,POINT (-116.8586975454608 50.045739366863415),50.045700000000004,-116.8587,1106.0,N71980,2022,2022-08-24 22:33:20,2022-11-08 16:54:51,Lightning,Southeast Fire Centre
1129,POINT (-122.37543282335986 51.014705771715334),51.014700000000005,-122.3754,4683.0,K71995,2022,2022-08-25 01:00:00,2022-11-04 14:34:14,Lightning,Kamloops Fire Centre
1130,POINT (-122.71901770222289 56.00429589281167),56.0043,-122.71900000000001,34753.0,G72150,2022,2022-08-30 21:48:32,2023-06-19 15:46:01,Lightning,Prince George Fire Centre
1131,POINT (-120.5400498974763 55.0285561554621),55.028600000000004,-120.54,6499.0,G72178,2022,2022-08-31 21:21:54,2023-06-09 17:08:25,Lightning,Prince George Fire Centre
1132,POINT (-120.99234986731953 54.739506086801434),54.7395,-120.9923,2300.0,G72252,2022,2022-09-03 22:29:51,2022-12-06 21:21:59,Lightning,Prince George Fire Centre
1133,POINT (-123.6530185363049 57.45930579341462),57.459300000000006,-123.653,2484.3,G82427,2022,2022-09-12 18:30:38,2022-11-07 21:55:18,Person,Prince George Fire Centre
1134,POINT (-123.91003604082758 58.36980577088264),58.369800000000005,-123.91,1500.0,G92591,2022,2022-10-05 16:40:09,2023-06-19 19:22:38,Person,Prince George Fire Centre
1135,POINT (-123.4990686415799 57.72955581936213),57.729600000000005,-123.49910000000001,1000.0,G92640,2022,2022-10-06 19:00:00,2023-06-19 19:22:58,Person,Prince George Fire Centre
1136,POINT (-119.92878396507845 56.26922294726172),56.269200000000005,-119.92880000000001,6422.17,G80220,2023,2023-05-01 22:11:23,2023-10-11 22:12:30,Person,Prince George Fire Centre
1137,POINT (-120.07053315974268 53.28842315034834),53.2884,-120.07050000000001,1017.8000000000001,G30210,2023,2023-05-04 17:59:40,2023-08-09 17:17:46,Person,Prince George Fire Centre
1138,POINT (-121.23243461049393 56.416073105464825),56.4161,-121.23240000000001,2947.0,G80223,2023,2023-05-05 20:52:43,2024-08-14 00:07:51,Person,Prince George Fire Centre
1139,POINT (-124.84355169012449 57.353388622729156),57.3534,-124.8435,24705.0,G60325,2023,2023-05-08 01:41:41,2023-08-31 21:16:00,Lightning,Prince George Fire Centre
1140,POINT (-120.98658635785911 59.96357321766868),59.9636,-120.98660000000001,290073.32,G90288,2023,2023-05-11 20:46:33,2024-08-28 18:55:16,Lightning,Prince George Fire Centre
1141,POINT (-123.3252357724644 58.05172284963553),58.051700000000004,-123.32520000000001,21056.0,G90292,2023,2023-05-11 22:10:54,2024-06-23 22:00:17,Lightning,Prince George Fire Centre
1142,POINT (-122.01235131512335 57.618673027394735),57.618700000000004,-122.01230000000001,619072.5,G80280,2023,2023-05-12 00:15:17,2024-08-30 19:08:09,Lightning,Prince George Fire Centre
1143,POINT (-121.22193465126125 56.51122310966442),56.5112,-121.2219,29505.9,G80291,2023,2023-05-13 21:55:00,2024-08-30 19:08:25,Person,Prince George Fire Centre
1144,POINT (-119.56939868038087 52.13808916231741),52.1381,-119.5694,1711.6100000000001,K20469,2023,2023-05-18 05:43:00,2023-09-07 17:45:00,Lightning,Kamloops Fire Centre
1145,POINT (-118.70211548823315 52.04508926285975),52.045100000000005,-118.7021,1160.0,N40596,2023,2023-05-21 03:33:00,2023-10-19 16:27:58,Lightning,Southeast Fire Centre
1146,POINT (-120.08268395217372 55.37917322738368),55.379200000000004,-120.0827,4427.0,G70644,2023,2023-06-03 19:00:00,2024-08-15 02:34:53,Lightning,Prince George Fire Centre
