FIRE_LABEL,FIRE_NUMBER,STATION_CODE,weather_station_distance_km,FIRE_SIZE_HECTARES,IGNITION_DATE,avg_tmp_igd,avg_tmp_7d,avg_hmd_igd,avg_hmd_7d,avg_wind_igd,avg_wind_7d,precp_igd,total_precp_7d,total_precp_30d,MUNICIPALITY,POPULATION,municipality_distance_km
2021-C12569,C12569,165,16.732852413143,4.8,2021-08-05,13.720833333333331,18.463095238095235,74.25,60.05357142857143,6.3875,4.5095238095238095,2.4,4.2,33.0,Fraser Lake,969,119.38351492890013
2021-C12573,C12573,221,38.349049427276256,0.9,2021-08-12,18.59583333333333,13.510119047619046,42.458333333333336,60.75595238095237,9.858333333333333,11.480357142857143,0.0,1.000000000000007,38.6,Fraser Lake,969,119.7406509609004
2021-N52624,N52624,402,16.338082849755448,3.4,2021-08-08,14.033333333333331,23.76190476190476,89.41666666666667,51.57738095238095,5.575,5.2559523809523805,4.2,0.8000000000000036,0.8000000000000036,Trail,8183,2.4254030542085605
2021-C11553,C11553,206,52.35193630298176,3.1,2021-07-07,19.666666666666668,19.447023809523813,47.5,51.62499999999999,6.358333333333333,6.635714285714286,0.0,4.499999999999996,32.9,Williams Lake,11381,46.85022681883071
2021-N12620,N12620,791,6.5015188453529,286.4,2021-08-15,22.620833333333334,18.249404761904763,32.625,56.654761904761905,8.908333333333333,7.046428571428572,0.0,17.599999999999998,20.0,Fernie,6267,38.44118813556501
2021-K51794,K51794,1332,11.063594311921191,10596.9,2021-07-11,17.858333333333334,16.657738095238095,43.0,58.41666666666667,5.841666666666666,5.115476190476191,0.0,13.200000000000001,30.4,Penticton,37460,4.875626012260746
2021-C11753,C11753,263,16.19244173052189,914.2,2021-07-10,19.95,19.07559523809524,60.91666666666666,54.33333333333333,6.05,4.970833333333333,1.8,0.19999999999999646,33.8,Wells,233,28.480129762224596
2021-C41119,C41119,244,16.764858770355538,19.0,2021-07-01,23.475,25.417261904761908,47.708333333333336,35.9345238095238,8.620833333333334,8.680357142857144,0.0,0.0,23.8,100 Mile House,1998,23.753634091468115
2021-K41752,K41752,344,11.176661439723889,27.0,2021-07-09,24.179166666666664,23.102380952380948,60.04166666666666,55.61309523809524,3.85,3.395833333333333,1.0,19.20000000000001,44.0,Revelstoke,8590,54.25564780334224
2021-N11960,N11960,421,9.717077463398663,146.8,2021-07-14,20.745833333333334,18.597619047619048,43.66666666666666,54.898809523809526,5.0125,4.960119047619047,0.0,4.0,30.400000000000006,Kimberley,8090,32.67172166018531
2021-V12269,V12269,1339,7.867190297671706,396.7,2021-07-31,21.58695652173913,25.148461321287414,58.26086956521739,38.35566064370412,3.1608695652173915,6.884897891963109,0.2,0.0,0.6,Lytton,222,30.71237041685938
